CNTR_ID,TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011,TOT_P_2021
SE,1604,1546,CRS3035RES50000mN4550000E4850000,1498,1720
IT,482543,443178,CRS3035RES50000mN2350000E4450000,476661,477391
UK,275194,251912,CRS3035RES50000mN3300000E3650000,262144,0
FR,103924,91795,CRS3035RES50000mN2450000E3400000,96311,112597
FI-NO,91,91,CRS3035RES50000mN5200000E5050000,84,75
PL-SK,88384,90117,CRS3035RES50000mN2950000E5150000,90240,83830
DE,1013652,1055676,CRS3035RES50000mN3150000E4150000,1004786,1011102
EL,0,0,CRS3035RES50000mN1550000E5800000,0,3
SK,324950,334103,CRS3035RES50000mN2800000E4900000,326635,328402
IT,64775,61313,CRS3035RES50000mN1750000E4900000,60902,62613
DE,996257,949930,CRS3035RES50000mN3200000E4150000,949412,1002857
SE,243,373,CRS3035RES50000mN4250000E4550000,287,253
ES,180191,173539,CRS3035RES50000mN2200000E3250000,182867,182012
NO,3295,3228,CRS3035RES50000mN3950000E4200000,3230,3186
IS,286,230,CRS3035RES50000mN4800000E2900000,46,0
EL,12721,12553,CRS3035RES50000mN1850000E5700000,12820,11702
DE,232817,233866,CRS3035RES50000mN2850000E4350000,228334,236123
ES,33672,38073,CRS3035RES50000mN1850000E2950000,35954,32651
FI,40168,41559,CRS3035RES50000mN4150000E5050000,42206,39847
ES,612726,597708,CRS3035RES50000mN2300000E2750000,617068,611437
FR,189449,184553,CRS3035RES50000mN2550000E3550000,188408,188895
EL,108694,106077,CRS3035RES50000mN1600000E5400000,106319,105879
SE,11350,11548,CRS3035RES50000mN3900000E4350000,11292,17020
UK,135356,138545,CRS3035RES50000mN3650000E3400000,136800,0
RO,78380,94724,CRS3035RES50000mN2650000E5250000,86736,76555
RO-RS,34019,33485,CRS3035RES50000mN2450000E5250000,37852,25792
FI,80,118,CRS3035RES50000mN5100000E4950000,97,75
UK,310864,279690,CRS3035RES50000mN3800000E3550000,302210,0
FI-NO,320,345,CRS3035RES50000mN5300000E4950000,360,349
FR,304372,286035,CRS3035RES50000mN2800000E3300000,295669,339847
IT,361578,372014,CRS3035RES50000mN2000000E4700000,370904,342365
AL-MK,176452,0,CRS3035RES50000mN2100000E5200000,173733,0
UK,793340,751496,CRS3035RES50000mN3600000E3550000,773065,0
BY-LV,9274,12567,CRS3035RES50000mN3800000E5400000,11289,8148
CH,51746,50943,CRS3035RES50000mN2600000E4200000,50605,50900
FR,40446,39161,CRS3035RES50000mN2400000E3800000,41126,40990
BY-PL,42334,44461,CRS3035RES50000mN3300000E5200000,44106,37967
FR,150375,140127,CRS3035RES50000mN2250000E3650000,147686,154084
FR,57108,56754,CRS3035RES50000mN2700000E3850000,59304,54814
EL,12927,14016,CRS3035RES50000mN1800000E5550000,12665,11449
EL,120912,118875,CRS3035RES50000mN1900000E5300000,119938,110655
PL,229214,220857,CRS3035RES50000mN3200000E4700000,225692,221081
NO,15520,14672,CRS3035RES50000mN4500000E4300000,15079,18069
RS,300722,0,CRS3035RES50000mN2400000E5100000,300495,0
UK,2282,2517,CRS3035RES50000mN3950000E3300000,2395,0
ES,61383,70377,CRS3035RES50000mN2400000E2900000,66014,60699
IT,106035,128317,CRS3035RES50000mN1500000E4750000,102799,102910
